Time,CPU(%),RAM(MB)
2025-12-11 21:25:19,0.0,31.5
2025-12-11 21:25:24,0.0,31.4
2025-12-11 21:25:29,0.0,31.5
2025-12-11 21:25:34,0.0,31.5
2025-12-11 21:25:39,0.0,31.5
2025-12-11 21:25:44,0.0,31.4
2025-12-11 21:25:49,0.0,31.5
2025-12-11 21:25:54,0.0,31.4
2025-12-11 21:26:00,16.6,31.4
2025-12-11 21:26:05,0.0,31.5
2025-12-11 21:26:10,0.0,31.5
2025-12-11 21:26:15,0.0,31.5
2025-12-11 21:26:20,0.0,31.4
2025-12-11 21:26:25,0.0,31.5
2025-12-11 21:26:30,0.0,31.5
2025-12-11 21:26:35,0.0,31.5
2025-12-11 21:26:40,16.6,31.5
2025-12-11 21:26:46,0.0,31.5
2025-12-11 21:26:51,0.0,31.4
2025-12-11 21:26:56,0.0,31.5
2025-12-11 21:27:01,0.0,31.5
2025-12-11 21:27:06,0.0,31.4
2025-12-11 21:27:11,0.0,31.4
2025-12-11 21:27:16,0.0,31.4
2025-12-11 21:27:21,0.0,31.4
2025-12-11 21:27:26,0.0,31.5
2025-12-11 21:27:32,0.0,31.4
2025-12-11 21:27:37,0.0,31.5
2025-12-11 21:27:42,0.0,31.4
2025-12-11 21:27:47,0.0,31.4
2025-12-11 21:27:52,0.0,31.5
2025-12-11 21:27:57,0.0,31.4
2025-12-11 21:28:02,0.0,31.4
2025-12-11 21:28:07,0.0,31.4
2025-12-11 21:28:12,0.0,31.4
2025-12-11 21:28:18,0.0,31.4
2025-12-11 21:28:23,0.0,31.5
2025-12-11 21:28:28,0.0,31.4
2025-12-11 21:28:33,0.0,31.4
2025-12-11 21:28:38,0.0,31.5
2025-12-11 21:28:43,0.0,31.5
2025-12-11 21:28:48,0.0,30.8
2025-12-11 21:28:53,0.0,30.8
2025-12-11 21:28:58,0.0,30.8
2025-12-11 21:29:04,0.0,30.8
2025-12-11 21:29:09,0.0,30.8
2025-12-11 21:29:14,0.0,30.8
2025-12-11 21:29:19,0.0,30.8
2025-12-11 21:29:24,0.0,30.8
2025-12-11 21:29:29,0.0,30.8
2025-12-11 21:29:34,0.0,30.8
2025-12-11 21:29:39,0.0,30.8
2025-12-11 21:29:45,0.0,30.8
2025-12-11 21:29:50,0.0,30.8
2025-12-11 21:29:55,0.0,30.8
2025-12-11 21:30:00,0.0,30.8
2025-12-11 21:30:05,0.0,30.8
2025-12-11 21:30:10,0.0,25.7
2025-12-11 21:30:15,0.0,25.7
2025-12-11 21:30:20,0.0,25.7
2025-12-11 21:30:25,0.0,25.7
2025-12-11 21:30:31,0.0,25.7
2025-12-11 21:30:36,0.0,25.7
2025-12-11 21:30:41,0.0,25.7
2025-12-11 21:30:46,0.0,25.7
2025-12-11 21:30:51,0.0,25.7
2025-12-11 21:30:56,0.0,25.7
2025-12-11 21:31:01,0.0,25.7
2025-12-11 21:31:06,0.0,25.7
2025-12-11 21:31:11,0.0,25.7
2025-12-11 21:31:17,0.0,25.7
2025-12-11 21:31:22,0.0,25.7
2025-12-11 21:31:27,0.0,25.7
2025-12-11 21:31:32,0.0,25.7
2025-12-11 21:31:37,0.0,25.7
2025-12-11 21:31:42,0.0,25.7
2025-12-11 21:31:47,0.0,25.7
2025-12-11 21:31:52,0.0,25.7
2025-12-11 21:31:57,0.0,25.7
2025-12-11 21:32:03,0.0,25.7
2025-12-11 21:32:08,0.0,25.7
2025-12-11 21:32:13,0.0,25.7
2025-12-11 21:32:18,0.0,25.7
2025-12-11 21:32:23,0.0,25.7
2025-12-11 21:32:28,0.0,25.7
2025-12-11 21:32:33,0.0,25.7
2025-12-11 21:32:38,0.0,25.7
2025-12-11 21:32:44,0.0,25.7
2025-12-11 21:32:49,0.0,25.7
2025-12-11 21:32:54,0.0,25.7
2025-12-11 21:32:59,0.0,25.7
2025-12-11 21:33:04,0.0,25.7
2025-12-11 21:33:09,0.0,25.7
2025-12-11 21:33:14,0.0,25.7
2025-12-11 21:33:19,0.0,25.7
2025-12-11 21:33:24,0.0,25.7
2025-12-11 21:33:30,0.0,25.7
2025-12-11 21:33:35,0.0,25.7
2025-12-11 21:33:40,0.0,25.7
2025-12-11 21:33:45,0.0,25.7
2025-12-11 21:33:50,0.0,25.7
2025-12-11 21:33:55,0.0,25.7
2025-12-11 21:34:00,0.0,25.7
2025-12-11 21:34:05,0.0,25.7
2025-12-11 21:34:10,0.0,25.7
2025-12-11 21:34:16,0.0,25.7
2025-12-11 21:34:21,0.0,25.7
2025-12-11 21:34:26,0.0,25.7
2025-12-11 21:34:31,0.0,25.7
2025-12-11 21:34:36,0.0,25.7
2025-12-11 21:34:41,0.0,25.7
2025-12-11 21:34:46,0.0,25.7
2025-12-11 21:34:51,0.0,25.7
2025-12-11 21:34:56,0.0,25.7
2025-12-11 21:35:02,0.0,25.7
2025-12-11 21:35:07,0.0,25.7
2025-12-11 21:35:12,0.0,25.7
2025-12-11 21:35:17,0.0,25.7
2025-12-11 21:35:22,0.0,25.7
2025-12-11 21:35:27,0.0,25.7
2025-12-11 21:35:32,0.0,25.7
2025-12-11 21:35:37,0.0,25.7
2025-12-11 21:35:42,0.0,25.7
2025-12-11 21:35:48,0.0,25.7
2025-12-11 21:35:53,0.0,25.7
2025-12-11 21:35:58,0.0,25.7
2025-12-11 21:36:03,0.0,25.7
2025-12-11 21:36:08,0.0,25.7
2025-12-11 21:36:13,0.0,25.7
2025-12-11 21:36:18,0.0,25.7
2025-12-11 21:36:23,0.0,25.7
2025-12-11 21:36:28,0.0,25.7
2025-12-11 21:36:34,0.0,25.7
2025-12-11 21:36:39,0.0,25.7
2025-12-11 21:36:44,0.0,25.7
2025-12-11 21:36:49,0.0,25.7
2025-12-11 21:36:54,0.0,25.7
2025-12-11 21:36:59,0.0,25.7
2025-12-11 21:37:04,0.0,25.7
2025-12-11 21:37:09,0.0,25.7
2025-12-11 21:37:14,0.0,25.8
2025-12-11 21:37:20,0.0,25.8
2025-12-11 21:37:25,0.0,25.8
2025-12-11 21:37:30,0.0,25.8
2025-12-11 21:37:35,0.0,25.8
2025-12-11 21:37:40,16.6,25.8
2025-12-11 21:37:45,0.0,25.8
2025-12-11 21:37:50,0.0,25.8
2025-12-11 21:37:55,0.0,25.8
2025-12-11 21:38:00,0.0,25.8
2025-12-11 21:38:06,0.0,25.8
2025-12-11 21:38:11,0.0,25.8
2025-12-11 21:38:16,0.0,25.8
2025-12-11 21:38:21,0.0,25.8
2025-12-11 21:38:26,0.0,25.8
2025-12-11 21:38:31,0.0,25.8
2025-12-11 21:38:36,0.0,25.8
2025-12-11 21:38:41,0.0,25.8
2025-12-11 21:38:47,0.0,25.7
2025-12-11 21:38:52,0.0,25.7
2025-12-11 21:38:57,0.0,25.7
2025-12-11 21:39:02,0.0,25.7
2025-12-11 21:39:07,0.0,25.7
2025-12-11 21:39:12,0.0,25.7
2025-12-11 21:39:17,0.0,25.7
2025-12-11 21:39:22,0.0,25.7
2025-12-11 21:39:27,0.0,25.7
2025-12-11 21:39:33,0.0,25.7
2025-12-11 21:39:38,0.0,25.7
2025-12-11 21:39:43,0.0,25.7
2025-12-11 21:39:48,0.0,25.7
2025-12-11 21:39:53,0.0,25.7
2025-12-11 21:39:58,16.6,25.7
2025-12-11 21:40:03,0.0,25.7
2025-12-11 21:40:08,0.0,25.7
2025-12-11 21:40:13,0.0,25.0
2025-12-11 21:40:19,0.0,25.0
2025-12-11 21:40:24,0.0,25.0
2025-12-11 21:40:29,0.0,25.0
2025-12-11 21:40:34,0.0,25.0
2025-12-11 21:40:39,0.0,25.0
2025-12-11 21:40:44,0.0,25.0
2025-12-11 21:40:49,0.0,25.0
2025-12-11 21:40:54,0.0,25.0
